<<<<<<< HEAD
Date,Open,High,Low,Close,Adj Close,Volume
2002-12-06,7.8,8.64,7.78,8.58,5.085451,27551000
2002-12-09,8.54,8.56,8.228,8.404,4.981134,3149500
2002-12-10,8.41,8.66,8.33,8.55,5.067668,1723000
2002-12-11,8.54,9.1,8.46,9.012,5.341501,2549000
2002-12-12,9.012,9.012,8.72,8.782,5.20518,1355500
2002-12-13,8.782,8.794,8.65,8.73,5.174359,987500
2002-12-16,8.7,8.75,8.59,8.62,5.109159,798000
2002-12-17,8.6,8.8,8.56,8.654,5.129311,1646000
2002-12-18,8.64,8.64,8.51,8.534,5.058188,742000
2002-12-19,8.51,8.54,8.434,8.46,5.014325,684000
2002-12-20,8.48,8.92,8.4,8.89,5.269192,904500
2002-12-23,8.87,8.91,8.67,8.68,5.144722,638500
2002-12-24,8.72,8.72,8.592,8.61,5.103232,218000
2002-12-26,8.62,8.63,8.51,8.52,5.049888,325000
2002-12-27,8.5,8.5,8.35,8.4,4.978763,830500
2002-12-30,8.46,8.57,8.42,8.464,5.016698,1076500
2002-12-31,8.454,8.76,8.454,8.732,5.175542,1778000
2003-01-02,8.732,8.79,8.69,8.744,5.182656,315000
2003-01-03,8.744,9.16,8.704,9.16,5.429223,861500
2003-01-06,9.006,9.67,9.006,9.62,5.701872,1874500
2003-01-07,9.6,9.72,9.45,9.604,5.692386,1383000
2003-01-08,9.606,9.654,9.534,9.602,5.6912,411000
2003-01-09,9.62,9.84,9.532,9.81,5.814485,649000
2003-01-10,9.77,9.87,9.742,9.798,5.807373,844000
2003-01-13,9.8,9.936,9.774,9.924,5.882052,810000
2003-01-14,9.924,10.0,9.814,9.82,5.820412,554000
2003-01-15,9.68,9.68,9.352,9.41,5.577401,1459000
2003-01-16,9.4,9.4,9.054,9.076,5.379436,725000
2003-01-17,9.05,9.104,8.96,9.004,5.336759,590500
2003-01-21,9.01,9.04,8.852,8.89,5.269192,468000
2003-01-22,8.86,8.88,8.82,8.83,5.233628,163500
2003-01-23,8.84,9.15,8.826,9.086,5.385364,476000
2003-01-24,9.07,9.42,9.0,9.398,5.570291,685000
2003-01-27,9.358,9.38,9.24,9.25,5.482564,209000
2003-01-28,9.26,9.316,9.2,9.202,5.454116,364500
2003-01-29,9.18,9.4,9.152,9.3,5.512204,401500
2003-01-30,9.3,9.318,8.76,8.84,5.239554,735000
2003-01-31,8.8,8.81,8.402,8.5,5.038035,2886000
2003-02-03,8.49,8.58,8.432,8.47,5.020252,780000
2003-02-04,8.44,8.44,8.31,8.4,4.978763,740000
2003-02-05,8.39,8.4,8.27,8.348,4.947943,1159000
2003-02-06,8.34,8.404,8.29,8.3,4.919491,1077500
2003-02-07,8.32,8.43,8.31,8.422,4.991804,744500
2003-02-10,8.422,8.68,8.41,8.6,5.097305,278500
2003-02-11,8.6,8.706,8.58,8.582,5.086637,222500
2003-02-12,8.55,8.59,8.496,8.582,5.086637,355500
2003-02-13,8.57,8.744,8.564,8.7,5.156577,265500
2003-02-14,8.74,8.96,8.74,8.9,5.275118,958000
2003-02-18,8.95,8.96,8.83,8.904,5.27749,753500
2003-02-19,8.906,9.0,8.88,8.954,5.307125,420500
2003-02-20,8.96,9.02,8.94,9.006,5.337945,159000
2003-02-21,9.008,9.132,9.0,9.072,5.377066,206000
2003-02-24,9.0,9.16,9.0,9.108,5.398403,182500
2003-02-25,9.1,9.16,9.07,9.144,5.419741,144500
2003-02-26,9.148,9.2,9.02,9.068,5.374694,214000
2003-02-27,9.048,9.05,8.66,8.66,5.132867,945000
2003-02-28,8.65,8.76,8.574,8.61,5.103232,565000
2003-03-03,8.612,8.712,8.6,8.626,5.112715,211000
